要求编号,批次号,审计项编码,审计项标题,维度,要求类型,要求内容,适用范围,执行频率,数量要求,资格要求,保存期限,关键词,置信度
REQ-001,,NEW-20260227112113-M004,公司是否建立IT治理委员会。,XC信息技术治理,建立组织,,,,,,,,0.95
REQ-002,,NEW-20260227112113-M005,IT治理委员会是否由公司主要负责人、相关高级管理人员及相关部门负责人组成。,XC信息技术治理,建立组织,,,,,,,,0.9
REQ-003,,NEW-20260227112113-M006,是否明确公司IT治理委员会工作职责，制定公司IT治理委员会议事规则，IT治理委员会审议内容是否全面。,XC信息技术治理,建立制度,,,,,,,,0.95
REQ-004,,NEW-20260227112113-M007,是否定期召开会议决策信息技术治理重大事项,XC信息技术治理,定期执行,,,,,,,,0.9
REQ-005,,NEW-20260227112113-M008,公司是否设置首席信息官岗位。,XC信息技术治理,人员配备,,,,,,,,0.95
REQ-006,,NEW-20260227112113-M009,首席信息官是否满足任职资格要求。,XC信息技术治理,人员配备,,,,,,,,0.9
REQ-007,,NEW-20260227112113-M010,分管IT的高管人员是否有IT专业背景或工作经验,XC信息技术治理,人员配备,,,,,,,,0.9
REQ-008,,NEW-20260227112113-M011,公司是否设立信息技术内部审计岗，配备专职信息技术审计人员。,XC信息技术治理,人员配备,,,,,,,,0.95
REQ-009,,NEW-20260227112113-M012,信息技术审计人员是否有信息技术相关专业学历或工作经验。,XC信息技术治理,人员配备,,,,,,,,0.9
REQ-010,,NEW-20260227112113-M013,公司是否设立信息技术合规及风险管理部门及岗位。,XC信息技术治理,建立组织,,,,,,,,0.9
REQ-011,,NEW-20260227112113-M013,公司是否设立信息技术合规及风险管理部门及岗位。,XC信息技术治理,人员配备,,,,,,,,0.95
REQ-012,,NEW-20260227112113-M014,信息技术合规及风险管理岗位人员是否具有信息技术专业背景或相关IT工作经验。,XC信息技术治理,人员配备,,,,,,,,0.9
REQ-013,,NEW-20260227112113-M015,是否设立信息安全管理工作的职能部门，设立安全主管、安全管理各个方面的负责人岗位，并定义各负责人的职责。,XC信息技术治理,建立组织,,,,,,,,0.95
REQ-014,,NEW-20260227112113-M015,是否设立信息安全管理工作的职能部门，设立安全主管、安全管理各个方面的负责人岗位，并定义各负责人的职责。,XC信息技术治理,建立制度,,,,,,,,0.9
REQ-015,,NEW-20260227112113-M016,机房管理员、网络管理员、系统管理员、数据库管理员、安全管理员等关键岗位是否设置主备岗。,XC信息技术治理,人员配备,,,,,,,,0.9
