ID,审计项ID,审计项标题,程序内容,是否主程序
1,1,是否制定相关的网络安全保障方案。,检查公司是否制定专门的建党100年网络安全保障方案。,是
2,2,是否按照建党100年网络保障要求开展网络安全风险排查。,a)检查公司是否制定建党100年网络保障自查清单。b)查看检查记录，确认公司是否根据清单对网络安全进行排查。,是
617,2,是否按照建党100年网络保障要求开展网络安全风险排查。,检查应急预案评估报告，判断是否根据应急演练的情况进行评估和更新。,否
644,2,是否按照建党100年网络保障要求开展网络安全风险排查。,a)检查“表L.3-电力情况-供电方式（可多选）”，访谈机房管理员，询问机房是否采用了双路市电；b)检查双路市电线路切换记录或供电部门相关协议，查看双路市电是否能够自动切换。,否
3,3,是否对网络安全风险排查所发现的问题进行整改。,检查记录，确认公司是否对建党100年网络保障自查所发现的问题进行整改。,是
4,4,公司是否建立IT治理委员会。,查阅IT治理委员会成立发文。,是
5,5,IT治理委员会是否由公司主要负责人、相关高级管理人员及相关部门负责人组成。,查阅IT治理委员会成立发文。,是
6,6,是否明确公司IT治理委员会工作职责，制定公司IT治理委员会议事规则，IT治理委员会审议内容是否全面。,查阅IT治理委员会成立发文或相关信息科技管理制度，了解IT治理委员职责和议事规则，确认其中是否包含拟订公司IT治理目标和IT治理工作计划，审议公司IT发展规划，审议公司年度IT工作计划和IT预算，审议...,是
7,7,是否定期召开会议决策信息技术治理重大事项,查阅IT治理委员会会议记录。,是
8,8,公司是否设置首席信息官岗位。,查阅公司人员岗位设置情况。,是
9,9,首席信息官是否满足任职资格要求。,查看首席信息官简历，确认首席信息官具有相关学习背景或工作经验。,是
10,10,分管IT的高管人员是否有IT专业背景或工作经验,查阅公司员工名录，取得IT部门及风险管理部门、合规管理部门员工职责分工表及员工简历，确认分管IT的高管人员是否有IT专业背景或工作经验。,是
252,10,分管IT的高管人员是否有IT专业背景或工作经验,检查是否建立备份与恢复管理相关的安全管理制度。,否
268,10,分管IT的高管人员是否有IT专业背景或工作经验,查看防火墙访问控制策略。,否
367,10,分管IT的高管人员是否有IT专业背景或工作经验,测试主要应用系统，可通过对系统进行超过规定的单个帐户的多重并发会话数进行连接，验证系统是否能够正确地限制单个帐户的多重并发会话数。,否
428,10,分管IT的高管人员是否有IT专业背景或工作经验,公司提供一年内发电机开机测试记录，应包括测试时间，测试结果等内容。,否
447,10,分管IT的高管人员是否有IT专业背景或工作经验,上机检查技术检测软件安装情况和检测记录,否
11,11,公司是否设立信息技术内部审计岗，配备专职信息技术审计人员。,查阅公司员工名录，取得公司内部审计部门岗位职责分工表。,是
12,12,信息技术审计人员是否有信息技术相关专业学历或工作经验。,查阅公司员工名录，取得公司内部审计部门岗位职责分工表。,是
13,13,公司是否设立信息技术合规及风险管理部门及岗位。,查阅公司员工名录，取得IT部门及风险管理部门、合规管理部门员工职责分工表及员工简历。,是
14,14,信息技术合规及风险管理岗位人员是否具有信息技术专业背景或相关IT工作经验。,查阅公司员工名录，取得IT部门及风险管理部门、合规管理部门员工职责分工表及员工简历，确认信息技术合规及风险管理岗位人员是否有IT专业背景或工作经验。,是
15,15,是否设立信息安全管理工作的职能部门，设立安全主管、安全管理各个方面的负责人岗位，并定义各负责人的职责。,a)访谈安全主管，询问是否设立信息安全管理工作的职能部门、安全主管、安全管理各个方面的负责人岗位；b)检查岗位职责文档，查看文档是否明确设置安全主管、安全管理各个方面的负责人、各个岗位的职责范围是否清...,是
